Jahr;China;European Union;United States
1960;780726;1687911;2890696
1961;552067;1775817;2880506
1962;440359;1924617;2987208
1963;436696;2102661;3119231
1964;436923;2223324;3255995
1965;475973;2308396;3390923
1966;522790;2412861;3561878
1967;433234;2530015;3695709
1968;468929;2707669;3831355
1969;577237;2897624;4024749
1970;771617;3116398;4328905
1971;876633;3207028;4356770
1972;931576;3394659;4564953
1973;968543;3601853;4770195
1974;988014;3600835;4598488
1975;1145607;3537181;4406330
1976;1196194;3837936;4613101
1977;1310311;3811572;4742293
1978;1462169;3967127;4890861
1979;1494860;4114434;4901796
1980;1467192;4074379;4723210
1981;1451501;3825161;4535800
1982;1580261;3740678;4306748
1983;1667029;3678981;4341878
1984;1814908;3674225;4475192
1985;1966553;3742372;4492555
1986;2068969;3717497;4495463
1987;2209709;3800176;4688373
1988;2369502;3740672;4892526
1989;2408541;3855628;4955081
1990;2173360;3562660;4844990
1991;2302190;3523680;4808090
1992;2418180;3409310;4880200
1993;2643530;3348670;5000350
1994;2763900;3336380;5073230
1995;3084870;3389850;5126900
1996;3064880;3487250;5283110
1997;3128650;3418590;5547990
1998;3232120;3410320;5590700
1999;3149200;3355390;5610300
2000;3344090;3362290;5776410
2001;3526750;3418140;5749250
2002;3808330;3411220;5594160
2003;4413300;3503750;5659630
2004;5121830;3508990;5740030
2005;5819120;3489300;5756080
2006;6431910;3497050;5656580
2007;6988210;3456800;5740270
2008;7195010;3379180;5563340
2009;7715110;3129340;5159550
2010;8470570;3215040;5392870
2011;9278250;3117130;5172100
2012;9533210;3057640;4950210
2013;9936680;2983560;5089500
2014;9894940;2838990;5102580
2015;9830430;2896820;4982790
2016;9814310;2904100;4888640
